v_bin,v_bin_lo_px,v_bin_hi_px,point_count,unique_frame_count,frame_ids,frame_contribution_json,lambda_truth_min_mm,lambda_truth_max_mm,lambda_truth_span_mm,lambda_truth_median_mm,Z_min_mm,Z_max_mm,Z_span_mm,Z_median_mm,support_class
v_0000_0100,0.0,100.0,323,11,004;014;015;018;025;028;029;030;052;053;054,"{""004"":{""count"":31,""ratio"":0.09597523219814241},""014"":{""count"":10,""ratio"":0.030959752321981424},""015"":{""count"":14,""ratio"":0.043343653250773995},""018"":{""count"":6,""ratio"":0.018575851393188854},""025"":{""count"":51,""ratio"":0.15789473684210525},""028"":{""count"":30,""ratio"":0.09287925696594428},""029"":{""count"":15,""ratio"":0.04643962848297214},""030"":{""count"":2,""ratio"":0.006191950464396285},""052"":{""count"":57,""ratio"":0.17647058823529413},""053"":{""count"":58,""ratio"":0.17956656346749225},""054"":{""count"":49,""ratio"":0.15170278637770898}}",613.9723422627321,713.8641567975121,99.89181453478,653.8118962004332,613.9723422627321,713.8641567975121,99.89181453478,653.8118962004332,well-supported
v_0100_0200,100.0,200.0,643,18,003;004;007;009;010;011;014;015;018;025;026;027;028;029;030;052;053;054,"{""003"":{""count"":5,""ratio"":0.007776049766718507},""004"":{""count"":60,""ratio"":0.09331259720062209},""007"":{""count"":47,""ratio"":0.07309486780715396},""009"":{""count"":20,""ratio"":0.03110419906687403},""010"":{""count"":4,""ratio"":0.006220839813374806},""011"":{""count"":20,""ratio"":0.03110419906687403},""014"":{""count"":34,""ratio"":0.05287713841368585},""015"":{""count"":13,""ratio"":0.02021772939346812},""018"":{""count"":45,""ratio"":0.06998444790046657},""025"":{""count"":55,""ratio"":0.08553654743390357},""026"":{""count"":25,""ratio"":0.038880248833592534},""027"":{""count"":42,""ratio"":0.06531881804043546},""028"":{""count"":43,""ratio"":0.06687402799377916},""029"":{""count"":41,""ratio"":0.06376360808709176},""030"":{""count"":1,""ratio"":0.0015552099533437014},""052"":{""count"":54,""ratio"":0.08398133748055987},""053"":{""count"":78,""ratio"":0.12130637636080871},""054"":{""count"":56,""ratio"":0.08709175738724728}}",614.1304186630957,713.8321808400398,99.70176217694404,658.2996612639982,614.1304186630957,713.8321808400398,99.70176217694404,658.2996612639982,highly-redundant
v_0200_0300,200.0,300.0,920,22,003;004;005;007;008;009;010;011;014;015;017;018;025;026;027;028;029;030;034;052;053;054,"{""003"":{""count"":45,""ratio"":0.04891304347826087},""004"":{""count"":54,""ratio"":0.058695652173913045},""005"":{""count"":14,""ratio"":0.015217391304347827},""007"":{""count"":58,""ratio"":0.06304347826086956},""008"":{""count"":3,""ratio"":0.003260869565217391},""009"":{""count"":43,""ratio"":0.04673913043478261},""010"":{""count"":47,""ratio"":0.051086956521739134},""011"":{""count"":56,""ratio"":0.06086956521739131},""014"":{""count"":46,""ratio"":0.05},""015"":{""count"":54,""ratio"":0.058695652173913045},""017"":{""count"":79,""ratio"":0.08586956521739131},""018"":{""count"":44,""ratio"":0.04782608695652174},""025"":{""count"":36,""ratio"":0.0391304347826087},""026"":{""count"":46,""ratio"":0.05},""027"":{""count"":76,""ratio"":0.08260869565217391},""028"":{""count"":37,""ratio"":0.04021739130434782},""029"":{""count"":39,""ratio"":0.042391304347826085},""030"":{""count"":16,""ratio"":0.017391304347826087},""034"":{""count"":2,""ratio"":0.002173913043478261},""052"":{""count"":34,""ratio"":0.03695652173913044},""053"":{""count"":40,""ratio"":0.043478260869565216},""054"":{""count"":51,""ratio"":0.05543478260869565}}",615.4770389292702,713.7422895921844,98.26525066291424,671.5757892005126,615.4770389292702,713.7422895921844,98.26525066291424,671.5757892005126,highly-redundant
v_0300_0400,300.0,400.0,976,26,003;004;005;007;008;009;010;011;013;014;015;016;017;018;025;026;027;028;029;030;032;033;034;052;053;054,"{""003"":{""count"":58,""ratio"":0.05942622950819672},""004"":{""count"":60,""ratio"":0.06147540983606557},""005"":{""count"":23,""ratio"":0.0235655737704918},""007"":{""count"":48,""ratio"":0.04918032786885246},""008"":{""count"":29,""ratio"":0.02971311475409836},""009"":{""count"":54,""ratio"":0.055327868852459015},""010"":{""count"":48,""ratio"":0.04918032786885246},""011"":{""count"":55,""ratio"":0.05635245901639344},""013"":{""count"":3,""ratio"":0.0030737704918032786},""014"":{""count"":65,""ratio"":0.06659836065573771},""015"":{""count"":23,""ratio"":0.0235655737704918},""016"":{""count"":1,""ratio"":0.0010245901639344263},""017"":{""count"":75,""ratio"":0.07684426229508197},""018"":{""count"":31,""ratio"":0.031762295081967214},""025"":{""count"":19,""ratio"":0.0194672131147541},""026"":{""count"":47,""ratio"":0.04815573770491803},""027"":{""count"":71,""ratio"":0.07274590163934426},""028"":{""count"":26,""ratio"":0.02663934426229508},""029"":{""count"":29,""ratio"":0.02971311475409836},""030"":{""count"":19,""ratio"":0.0194672131147541},""032"":{""count"":20,""ratio"":0.020491803278688523},""033"":{""count"":36,""ratio"":0.036885245901639344},""034"":{""count"":28,""ratio"":0.028688524590163935},""052"":{""count"":33,""ratio"":0.03381147540983607},""053"":{""count"":30,""ratio"":0.030737704918032786},""054"":{""count"":45,""ratio"":0.04610655737704918}}",618.0248572916271,713.6567005792656,95.6318432876385,671.4005679198242,618.0248572916271,713.6567005792656,95.6318432876385,671.4005679198242,highly-redundant
v_0400_0500,400.0,500.0,1061,30,003;004;005;007;008;009;010;011;013;014;015;016;017;018;025;026;027;028;029;030;031;032;033;034;035;036;051;052;053;054,"{""003"":{""count"":8,""ratio"":0.007540056550424128},""004"":{""count"":58,""ratio"":0.05466540999057493},""005"":{""count"":27,""ratio"":0.02544769085768143},""007"":{""count"":41,""ratio"":0.03864278982092366},""008"":{""count"":29,""ratio"":0.027332704995287466},""009"":{""count"":62,""ratio"":0.058435438265786996},""010"":{""count"":43,""ratio"":0.04052780395852969},""011"":{""count"":43,""ratio"":0.04052780395852969},""013"":{""count"":33,""ratio"":0.03110273327049953},""014"":{""count"":58,""ratio"":0.05466540999057493},""015"":{""count"":56,""ratio"":0.0527803958529689},""016"":{""count"":2,""ratio"":0.001885014137606032},""017"":{""count"":22,""ratio"":0.020735155513666354},""018"":{""count"":34,""ratio"":0.03204524033930255},""025"":{""count"":21,""ratio"":0.019792648444863337},""026"":{""count"":43,""ratio"":0.04052780395852969},""027"":{""count"":49,""ratio"":0.046182846371347785},""028"":{""count"":23,""ratio"":0.021677662582469368},""029"":{""count"":28,""ratio"":0.02639019792648445},""030"":{""count"":37,""ratio"":0.034872761545711596},""031"":{""count"":31,""ratio"":0.029217719132893498},""032"":{""count"":35,""ratio"":0.03298774740810556},""033"":{""count"":53,""ratio"":0.04995287464655985},""034"":{""count"":24,""ratio"":0.022620169651272386},""035"":{""count"":23,""ratio"":0.021677662582469368},""036"":{""count"":18,""ratio"":0.016965127238454288},""051"":{""count"":8,""ratio"":0.007540056550424128},""052"":{""count"":56,""ratio"":0.0527803958529689},""053"":{""count"":44,""ratio"":0.04147031102733271},""054"":{""count"":52,""ratio"":0.049010367577756835}}",620.6225448456946,713.606419508973,92.98387466327836,674.8241584061669,620.6225448456946,713.606419508973,92.98387466327836,674.8241584061669,highly-redundant
v_0500_0600,500.0,600.0,1366,30,003;004;005;007;008;009;010;011;013;014;015;016;017;018;025;026;027;028;029;030;031;032;033;034;035;036;051;052;053;054,"{""003"":{""count"":7,""ratio"":0.005124450951683748},""004"":{""count"":29,""ratio"":0.0212298682284041},""005"":{""count"":45,""ratio"":0.03294289897510981},""007"":{""count"":48,""ratio"":0.03513909224011713},""008"":{""count"":33,""ratio"":0.024158125915080528},""009"":{""count"":56,""ratio"":0.040995607613469986},""010"":{""count"":45,""ratio"":0.03294289897510981},""011"":{""count"":34,""ratio"":0.024890190336749635},""013"":{""count"":27,""ratio"":0.019765739385065886},""014"":{""count"":35,""ratio"":0.02562225475841874},""015"":{""count"":85,""ratio"":0.06222547584187409},""016"":{""count"":50,""ratio"":0.036603221083455345},""017"":{""count"":25,""ratio"":0.018301610541727673},""018"":{""count"":43,""ratio"":0.0314787701317716},""025"":{""count"":56,""ratio"":0.040995607613469986},""026"":{""count"":47,""ratio"":0.034407027818448024},""027"":{""count"":77,""ratio"":0.05636896046852123},""028"":{""count"":42,""ratio"":0.03074670571010249},""029"":{""count"":41,""ratio"":0.030014641288433383},""030"":{""count"":59,""ratio"":0.04319180087847731},""031"":{""count"":45,""ratio"":0.03294289897510981},""032"":{""count"":35,""ratio"":0.02562225475841874},""033"":{""count"":36,""ratio"":0.02635431918008785},""034"":{""count"":39,""ratio"":0.02855051244509517},""035"":{""count"":47,""ratio"":0.034407027818448024},""036"":{""count"":30,""ratio"":0.021961932650073207},""051"":{""count"":60,""ratio"":0.043923865300146414},""052"":{""count"":56,""ratio"":0.040995607613469986},""053"":{""count"":78,""ratio"":0.05710102489019034},""054"":{""count"":56,""ratio"":0.040995607613469986}}",623.2076005929166,713.5123726188567,90.30477202594011,674.8982153837194,623.2076005929166,713.5123726188567,90.30477202594011,674.8982153837194,highly-redundant
v_0600_0700,600.0,700.0,1363,31,003;004;005;006;007;008;009;010;011;013;014;015;016;017;018;025;026;027;028;029;030;031;032;033;034;035;036;051;052;053;054,"{""003"":{""count"":40,""ratio"":0.029347028613352897},""004"":{""count"":33,""ratio"":0.02421129860601614},""005"":{""count"":45,""ratio"":0.03301540719002201},""006"":{""count"":37,""ratio"":0.02714600146735143},""007"":{""count"":58,""ratio"":0.0425531914893617},""008"":{""count"":31,""ratio"":0.022743947175348497},""009"":{""count"":39,""ratio"":0.028613352898019074},""010"":{""count"":48,""ratio"":0.03521643433602348},""011"":{""count"":54,""ratio"":0.03961848862802641},""013"":{""count"":50,""ratio"":0.036683785766691124},""014"":{""count"":37,""ratio"":0.02714600146735143},""015"":{""count"":55,""ratio"":0.04035216434336023},""016"":{""count"":55,""ratio"":0.04035216434336023},""017"":{""count"":79,""ratio"":0.05796038151137197},""018"":{""count"":45,""ratio"":0.03301540719002201},""025"":{""count"":54,""ratio"":0.03961848862802641},""026"":{""count"":46,""ratio"":0.03374908290535583},""027"":{""count"":12,""ratio"":0.00880410858400587},""028"":{""count"":43,""ratio"":0.03154805575935436},""029"":{""count"":42,""ratio"":0.030814380044020543},""030"":{""count"":41,""ratio"":0.03008070432868672},""031"":{""count"":20,""ratio"":0.014673514306676448},""032"":{""count"":34,""ratio"":0.024944974321349962},""033"":{""count"":21,""ratio"":0.015407190022010272},""034"":{""count"":42,""ratio"":0.030814380044020543},""035"":{""count"":47,""ratio"":0.034482758620689655},""036"":{""count"":39,""ratio"":0.028613352898019074},""051"":{""count"":45,""ratio"":0.03301540719002201},""052"":{""count"":47,""ratio"":0.034482758620689655},""053"":{""count"":69,""ratio"":0.05062362435803375},""054"":{""count"":55,""ratio"":0.04035216434336023}}",625.869727237926,713.418539036001,87.54881179807501,682.2962902737504,625.869727237926,713.418539036001,87.54881179807501,682.2962902737504,highly-redundant
v_0700_0800,700.0,800.0,1003,31,003;004;005;006;007;008;009;010;011;013;014;015;016;017;018;025;026;027;028;029;030;031;032;033;034;035;036;051;052;053;054,"{""003"":{""count"":58,""ratio"":0.05782652043868395},""004"":{""count"":56,""ratio"":0.05583250249252243},""005"":{""count"":19,""ratio"":0.018943170488534396},""006"":{""count"":58,""ratio"":0.05782652043868395},""007"":{""count"":40,""ratio"":0.03988035892323031},""008"":{""count"":23,""ratio"":0.022931206380857428},""009"":{""count"":43,""ratio"":0.04287138584247258},""010"":{""count"":48,""ratio"":0.047856430707876374},""011"":{""count"":55,""ratio"":0.054835493519441676},""013"":{""count"":49,""ratio"":0.04885343968095713},""014"":{""count"":65,""ratio"":0.06480558325024925},""015"":{""count"":16,""ratio"":0.015952143569292122},""016"":{""count"":13,""ratio"":0.01296111665004985},""017"":{""count"":76,""ratio"":0.07577268195413758},""018"":{""count"":26,""ratio"":0.0259222333000997},""025"":{""count"":25,""ratio"":0.024925224327018942},""026"":{""count"":7,""ratio"":0.006979062811565304},""027"":{""count"":4,""ratio"":0.003988035892323031},""028"":{""count"":24,""ratio"":0.023928215353938187},""029"":{""count"":24,""ratio"":0.023928215353938187},""030"":{""count"":10,""ratio"":0.009970089730807577},""031"":{""count"":10,""ratio"":0.009970089730807577},""032"":{""count"":34,""ratio"":0.03389830508474576},""033"":{""count"":28,""ratio"":0.027916251246261216},""034"":{""count"":30,""ratio"":0.02991026919242273},""035"":{""count"":46,""ratio"":0.045862412761714856},""036"":{""count"":24,""ratio"":0.023928215353938187},""051"":{""count"":10,""ratio"":0.009970089730807577},""052"":{""count"":30,""ratio"":0.02991026919242273},""053"":{""count"":14,""ratio"":0.013958125623130608},""054"":{""count"":38,""ratio"":0.03788634097706879}}",628.8226506370162,713.3232436711876,84.5005930341714,680.1292300784403,628.8226506370162,713.3232436711876,84.5005930341714,680.1292300784403,highly-redundant
v_0800_0900,800.0,900.0,1177,33,001;002;003;004;005;006;007;008;009;010;011;013;014;015;016;017;018;025;026;027;028;029;030;031;032;033;034;035;036;051;052;053;054,"{""001"":{""count"":3,""ratio"":0.002548853016142736},""002"":{""count"":23,""ratio"":0.01954120645709431},""003"":{""count"":42,""ratio"":0.0356839422259983},""004"":{""count"":60,""ratio"":0.05097706032285471},""005"":{""count"":20,""ratio"":0.016992353440951572},""006"":{""count"":50,""ratio"":0.04248088360237893},""007"":{""count"":41,""ratio"":0.034834324553950725},""008"":{""count"":49,""ratio"":0.041631265930331354},""009"":{""count"":62,""ratio"":0.052676295666949875},""010"":{""count"":43,""ratio"":0.03653355989804588},""011"":{""count"":43,""ratio"":0.03653355989804588},""013"":{""count"":28,""ratio"":0.0237892948173322},""014"":{""count"":62,""ratio"":0.052676295666949875},""015"":{""count"":40,""ratio"":0.033984706881903144},""016"":{""count"":10,""ratio"":0.008496176720475786},""017"":{""count"":28,""ratio"":0.0237892948173322},""018"":{""count"":25,""ratio"":0.021240441801189464},""025"":{""count"":56,""ratio"":0.0475785896346644},""026"":{""count"":13,""ratio"":0.011045029736618521},""027"":{""count"":62,""ratio"":0.052676295666949875},""028"":{""count"":20,""ratio"":0.016992353440951572},""029"":{""count"":28,""ratio"":0.0237892948173322},""030"":{""count"":31,""ratio"":0.026338147833474938},""031"":{""count"":32,""ratio"":0.027187765505522515},""032"":{""count"":35,""ratio"":0.029736618521665252},""033"":{""count"":21,""ratio"":0.01784197111299915},""034"":{""count"":24,""ratio"":0.020390824129141887},""035"":{""count"":47,""ratio"":0.03993203058623619},""036"":{""count"":36,""ratio"":0.03058623619371283},""051"":{""count"":36,""ratio"":0.03058623619371283},""052"":{""count"":44,""ratio"":0.037383177570093455},""053"":{""count"":24,""ratio"":0.020390824129141887},""054"":{""count"":39,""ratio"":0.03313508920985556}}",631.3169730724301,713.2322770690357,81.91530399660564,677.5939526982525,631.3169730724301,713.2322770690357,81.91530399660564,677.5939526982525,highly-redundant
v_0900_1000,900.0,1000.0,1583,35,001;002;003;004;005;006;007;008;009;010;011;012;013;014;015;016;017;018;025;026;027;028;029;030;031;032;033;034;035;036;049;051;052;053;054,"{""001"":{""count"":87,""ratio"":0.054958938723941884},""002"":{""count"":80,""ratio"":0.05053695514845231},""003"":{""count"":10,""ratio"":0.006317119393556538},""004"":{""count"":47,""ratio"":0.02969046114971573},""005"":{""count"":43,""ratio"":0.027163613392293114},""006"":{""count"":43,""ratio"":0.027163613392293114},""007"":{""count"":50,""ratio"":0.03158559696778269},""008"":{""count"":39,""ratio"":0.024636765634870498},""009"":{""count"":60,""ratio"":0.03790271636133923},""010"":{""count"":45,""ratio"":0.028427037271004423},""011"":{""count"":36,""ratio"":0.022741629816803537},""012"":{""count"":6,""ratio"":0.003790271636133923},""013"":{""count"":28,""ratio"":0.017687934301958308},""014"":{""count"":36,""ratio"":0.022741629816803537},""015"":{""count"":83,""ratio"":0.05243209096651927},""016"":{""count"":54,""ratio"":0.034112444725205304},""017"":{""count"":24,""ratio"":0.015161086544535692},""018"":{""count"":41,""ratio"":0.025900189513581806},""025"":{""count"":23,""ratio"":0.014529374605180037},""026"":{""count"":35,""ratio"":0.022109917877447885},""027"":{""count"":76,""ratio"":0.04801010739102969},""028"":{""count"":33,""ratio"":0.020846493998736577},""029"":{""count"":37,""ratio"":0.02337334175615919},""030"":{""count"":59,""ratio"":0.037271004421983576},""031"":{""count"":45,""ratio"":0.028427037271004423},""032"":{""count"":35,""ratio"":0.022109917877447885},""033"":{""count"":27,""ratio"":0.017056222362602652},""034"":{""count"":35,""ratio"":0.022109917877447885},""035"":{""count"":32,""ratio"":0.02021478205938092},""036"":{""count"":49,""ratio"":0.03095388502842704},""049"":{""count"":36,""ratio"":0.022741629816803537},""051"":{""count"":58,""ratio"":0.03663929248262792},""052"":{""count"":56,""ratio"":0.035375868603916616},""053"":{""count"":79,""ratio"":0.04990524320909665},""054"":{""count"":56,""ratio"":0.035375868603916616}}",633.8837947027299,713.1320842910429,79.24828958831301,679.5475337835962,633.8837947027299,713.1320842910429,79.24828958831301,679.5475337835962,highly-redundant
