rotation,v_start,v_end,count,mean_delta_u_px,median_delta_u_px,rms_delta_u_px,max_abs_delta_u_px
clockwise,0,100,95,0.0,0.0,0.0,0.0
clockwise,100,200,100,0.0,0.0,0.0,0.0
clockwise,200,300,100,0.0,0.0,0.0,0.0
clockwise,300,400,100,0.0,0.0,0.0,0.0
clockwise,400,500,100,0.0,0.0,0.0,0.0
clockwise,500,600,100,0.0,0.0,0.0,0.0
clockwise,600,700,100,0.0,0.0,0.0,0.0
clockwise,700,800,20,0.0,0.0,0.0,0.0
clockwise,800,900,2,0.0,0.0,0.0,0.0
clockwise,900,1000,81,0.0,0.0,0.0,0.0
clockwise,1000,1100,100,0.0,0.0,0.0,0.0
clockwise,1100,1200,29,0.0,0.0,0.0,0.0
clockwise,1300,1400,17,0.0,0.0,0.0,0.0
clockwise,1400,1500,98,0.0,0.0,0.0,0.0
clockwise,1500,1600,99,0.0,0.0,0.0,0.0
clockwise,1600,1700,99,0.0,0.0,0.0,0.0
clockwise,1700,1800,100,0.0,0.0,0.0,0.0
clockwise,1800,1900,100,0.0,0.0,0.0,0.0
clockwise,1900,2000,55,0.0,0.0,0.0,0.0
clockwise,2000,2100,7,0.0,0.0,0.0,0.0
clockwise,2100,2200,44,0.0,0.0,0.0,0.0
clockwise,2200,2300,100,0.0,0.0,0.0,0.0
clockwise,2300,2400,100,0.0,0.0,0.0,0.0
clockwise,2400,2500,100,0.0,0.0,0.0,0.0
clockwise,2500,2600,100,0.0,0.0,0.0,0.0
clockwise,2600,2700,71,0.0,0.0,0.0,0.0
clockwise,2700,2800,90,0.0,0.0,0.0,0.0
clockwise,2800,2900,73,0.0,0.0,0.0,0.0
clockwise,2900,3000,62,0.0,0.0,0.0,0.0
counterclockwise,0,100,95,0.0,0.0,0.0,0.0
counterclockwise,100,200,100,0.0,0.0,0.0,0.0
counterclockwise,200,300,100,0.0,0.0,0.0,0.0
counterclockwise,300,400,100,0.0,0.0,0.0,0.0
counterclockwise,400,500,100,0.0,0.0,0.0,0.0
counterclockwise,500,600,100,0.0,0.0,0.0,0.0
counterclockwise,600,700,100,0.0,0.0,0.0,0.0
counterclockwise,700,800,20,0.0,0.0,0.0,0.0
counterclockwise,800,900,2,0.0,0.0,0.0,0.0
counterclockwise,900,1000,81,0.0,0.0,0.0,0.0
counterclockwise,1000,1100,100,0.0,0.0,0.0,0.0
counterclockwise,1100,1200,29,0.0,0.0,0.0,0.0
counterclockwise,1300,1400,17,0.0,0.0,0.0,0.0
counterclockwise,1400,1500,98,0.0,0.0,0.0,0.0
counterclockwise,1500,1600,99,0.0,0.0,0.0,0.0
counterclockwise,1600,1700,99,0.0,0.0,0.0,0.0
counterclockwise,1700,1800,100,0.0,0.0,0.0,0.0
counterclockwise,1800,1900,100,0.0,0.0,0.0,0.0
counterclockwise,1900,2000,55,0.0,0.0,0.0,0.0
counterclockwise,2000,2100,7,0.0,0.0,0.0,0.0
counterclockwise,2100,2200,44,0.0,0.0,0.0,0.0
counterclockwise,2200,2300,100,0.0,0.0,0.0,0.0
counterclockwise,2300,2400,100,0.0,0.0,0.0,0.0
counterclockwise,2400,2500,100,0.0,0.0,0.0,0.0
counterclockwise,2500,2600,100,0.0,0.0,0.0,0.0
counterclockwise,2600,2700,71,0.0,0.0,0.0,0.0
counterclockwise,2700,2800,90,0.0,0.0,0.0,0.0
counterclockwise,2800,2900,73,0.0,0.0,0.0,0.0
counterclockwise,2900,3000,62,0.0,0.0,0.0,0.0
