frame_id,split,corner_count,pnp_success,reprojection_rmse_px,plane_nx,plane_ny,plane_nz,plane_d,tilt_deg,board_height_at_center_mm,detection_method,pair_files_ok,pair_manifest_ok,chess_sha256_ok,laser_sha256_ok,capture_gap_s,chess_file,laser_file,error_message
001,fit,88,True,0.080726,-0.000137,0.000392,1.000000,0.029960,0.023814,-0.026826,SB,True,True,True,True,12.002258,D:\Docs\linelaserscan\calibration_tool\projects\daheng\data\extrinsics0813\fit\chess 001.tif,D:\Docs\linelaserscan\calibration_tool\projects\daheng\data\extrinsics0813\fit\laser 001.tif,
002,fit,88,True,0.087381,0.000176,0.000523,1.000000,0.044441,0.031636,-0.042432,SB,True,True,True,True,8.713161,D:\Docs\linelaserscan\calibration_tool\projects\daheng\data\extrinsics0813\fit\chess 002.tif,D:\Docs\linelaserscan\calibration_tool\projects\daheng\data\extrinsics0813\fit\laser 002.tif,
003,fit,88,True,0.075027,0.000005,0.000377,1.000000,0.038386,0.021591,-0.046993,SB,True,True,True,True,4.414492,D:\Docs\linelaserscan\calibration_tool\projects\daheng\data\extrinsics0813\fit\chess 003.tif,D:\Docs\linelaserscan\calibration_tool\projects\daheng\data\extrinsics0813\fit\laser 003.tif,
004,fit,88,True,0.092166,-0.000111,0.000468,1.000000,0.029045,0.027581,-0.022071,classic+cornerSubPix,True,True,True,True,8.325893,D:\Docs\linelaserscan\calibration_tool\projects\daheng\data\extrinsics0813\fit\chess 004.tif,D:\Docs\linelaserscan\calibration_tool\projects\daheng\data\extrinsics0813\fit\laser 004.tif,
005,fit,88,True,0.081623,-0.000222,0.000338,1.000000,-0.014222,0.023155,0.007093,SB,True,True,True,True,6.299358,D:\Docs\linelaserscan\calibration_tool\projects\daheng\data\extrinsics0813\fit\chess 005.tif,D:\Docs\linelaserscan\calibration_tool\projects\daheng\data\extrinsics0813\fit\laser 005.tif,
006,fit,88,True,0.082762,0.000141,0.000658,1.000000,0.022851,0.038543,-0.016856,classic+cornerSubPix,True,True,True,True,4.678443,D:\Docs\linelaserscan\calibration_tool\projects\daheng\data\extrinsics0813\fit\chess 006.tif,D:\Docs\linelaserscan\calibration_tool\projects\daheng\data\extrinsics0813\fit\laser 006.tif,
007,fit,88,True,0.090630,0.000052,0.000388,1.000000,0.005206,0.022413,0.014842,classic+cornerSubPix,True,True,True,True,5.464809,D:\Docs\linelaserscan\calibration_tool\projects\daheng\data\extrinsics0813\fit\chess 007.tif,D:\Docs\linelaserscan\calibration_tool\projects\daheng\data\extrinsics0813\fit\laser 007.tif,
008,fit,88,True,0.077315,0.000433,0.000662,1.000000,0.022078,0.045351,-0.005596,classic+cornerSubPix,True,True,True,True,29.541623,D:\Docs\linelaserscan\calibration_tool\projects\daheng\data\extrinsics0813\fit\chess 008.tif,D:\Docs\linelaserscan\calibration_tool\projects\daheng\data\extrinsics0813\fit\laser 008.tif,
009,fit,88,True,0.086654,0.000441,0.000417,1.000000,0.036792,0.034781,-0.009183,classic+cornerSubPix,True,True,True,True,4.949488,D:\Docs\linelaserscan\calibration_tool\projects\daheng\data\extrinsics0813\fit\chess 009.tif,D:\Docs\linelaserscan\calibration_tool\projects\daheng\data\extrinsics0813\fit\laser 009.tif,
010,fit,88,True,0.090889,0.000156,0.000777,1.000000,0.005044,0.045389,0.008465,SB,True,True,True,True,5.022837,D:\Docs\linelaserscan\calibration_tool\projects\daheng\data\extrinsics0813\fit\chess 010.tif,D:\Docs\linelaserscan\calibration_tool\projects\daheng\data\extrinsics0813\fit\laser 010.tif,
011,validation,88,True,0.087447,0.000539,0.000499,1.000000,0.059470,0.042090,-0.047210,SB,True,True,True,True,5.458881,D:\Docs\linelaserscan\calibration_tool\projects\daheng\data\extrinsics0813\validation\chess 011.tif,D:\Docs\linelaserscan\calibration_tool\projects\daheng\data\extrinsics0813\validation\laser 011.tif,
012,validation,88,True,0.072619,0.000235,0.000951,1.000000,0.027465,0.056122,-0.017493,SB,True,True,True,True,4.922839,D:\Docs\linelaserscan\calibration_tool\projects\daheng\data\extrinsics0813\validation\chess 012.tif,D:\Docs\linelaserscan\calibration_tool\projects\daheng\data\extrinsics0813\validation\laser 012.tif,
013,validation,88,True,0.085094,0.000593,0.000496,1.000000,0.050229,0.044290,-0.023123,SB,True,True,True,True,6.179045,D:\Docs\linelaserscan\calibration_tool\projects\daheng\data\extrinsics0813\validation\chess 013.tif,D:\Docs\linelaserscan\calibration_tool\projects\daheng\data\extrinsics0813\validation\laser 013.tif,
